id,timestamp,agent,norm,encoder,mem_budget,er_mode,epochs,seed,Avg_End_Acc,Avg_End_Fgt,Avg_Cur_Acc,train_time_sec
1,2025-10-08 02:40:31,SFT,LN,CNN,0.0,task,20,1234,30.54,100.0,97.21,830.12
2,2025-10-08 03:01:02,ER,LN,CNN,0.05,task,20,0,83.74,24.15,99.84,1231.02
3,2025-10-08 03:21:23,ER,BN,CNN,0.05,task,20,0,76.15,33.49,98.47,1221.57
4,2025-10-08 03:40:53,EWC,LN,CNN,0.0,task,20,0,33.33,100.0,100.0,1169.37
5a,2025-10-08 03:55:35,SFT,LN,TST,0.0,task,20,0,32.91,99.77,99.42,882.52
5b,2025-10-08 04:09:23,ER,LN,TST,0.05,task,20,0,75.11,36.22,99.25,827.42

