timestamp,agent,norm,encoder,mem_budget,er_mode,epochs,seed,Avg_End_Acc,Avg_End_Fgt,Avg_Cur_Acc,train_time_sec
2025-10-08 02:40:31,SFT,LN,CNN,0.0,task,20,1234,30.54,100.0,97.21,830.12
2025-10-08 03:01:02,ER,LN,CNN,0.05,task,20,0,83.74,24.15,99.84,1231.02
2025-10-08 03:21:23,ER,BN,CNN,0.05,task,20,0,76.15,33.49,98.47,1221.57
2025-10-08 03:40:53,EWC,LN,CNN,0.0,task,20,0,33.33,100.0,100.0,1169.37
2025-10-08 03:55:35,SFT,LN,TST,0.0,task,20,0,32.91,99.77,99.42,882.52
2025-10-08 04:09:23,ER,LN,TST,0.05,task,20,0,75.11,36.22,99.25,827.42
2025-10-08 04:27:40,ER,LN,CNN,0.05,task,50,0,88.43,17.35,100.0,1096.94
2025-10-08 15:06:40,ER,LN,CNN,0.1,task,50,0,92.05,11.22,99.53,1148.07
